question,expected_answer
"How does the Siachen glacier's thinning rate compare to its retreat?","The Siachen glacier is retreating at a rate between 10 to 35 meters per year and has an accelerated thinning rate of approximately 0.65 meters water equivalent (w.e.) per year, largely impacted by black carbon."
"What proportion of India's annual precipitation is provided by the Indian Summer Monsoon?","The Indian Summer Monsoon (ISM) historically provides approximately 75-80% of India's total annual precipitation."
"How is the frequency of extreme daily rainfall events changing in central India?","According to 2025 IMD data, there has been a 4-fold increase in the frequency of extreme daily rainfall events (greater than 150mm per day) over central and peninsular India since 1950."
"How much groundwater does India extract annually for all purposes?","India extracts approximately 245 billion cubic meters (BCM) of groundwater annually, making it the world's largest consumer of groundwater."
"What is the average annual rate of groundwater decline in parts of Punjab?","Driven by water-intensive crops, groundwater levels in parts of Punjab are declining at an alarming rate of 0.8 to 1.2 meters per year."
"To what distance has saltwater intrusion pushed inland in the Krishna-Godavari Delta?","Accelerated sea-level rise has pushed saltwater intrusion inland by as much as 12 km in the Krishna-Godavari Delta, permanently contaminating aquifers."
"By what amount is the mean sea level projected to rise around Mumbai by 2050?","By 2050, the mean sea level around Mumbai is projected to rise by up to 0.45 meters relative to 2005 levels, posing a severe inundation risk to areas like South Mumbai."
"What percentage of natural storm water drains have been encroached upon in Bengaluru?","Over 60% of Bengaluru's primary storm water drains, known as Rajakaluves, have been paved over or encroached upon for real estate and IT corridors."
"What is the design capacity of Delhi's internal drainage system compared to extreme events?","Delhi's internal drainage capacity is designed for a maximum of 50mm of rain per day, but extreme climate events routinely drop 100mm or more in a few hours, leading to immediate waterlogging."
"How much water does the cultivation of millets require compared to paddy?","The cultivation of millets (Shree Anna) requires 70-80% less water than traditional paddy (rice), making it highly resilient to drought and thermal stress."
"What are the benefits of using an IoT-based micro-irrigation system?","IoT-based micro-irrigation (like drip systems) can result in water savings of 40-50% while simultaneously increasing crop yields by 20% by delivering water directly to the root zone only when necessary."
"What is the primary goal of the National River Linking Project (NRLP)?","The primary goal of the NRLP is to transfer water from so-called 'surplus' river basins like the Brahmaputra to 'deficit' basins in western and peninsular India, acting as a climate adaptation mechanism."
"Which specific drought-prone region does the Ken-Betwa link target for irrigation?","The Ken-Betwa link specifically targets the climate-vulnerable, drought-prone Bundelkhand region, aiming to provide irrigation to 1.06 million hectares."
"How does the deposition of black carbon affect Himalayan glaciers?","The deposition of black carbon (soot) from the Indo-Gangetic plains alters the albedo effect by nearly 15%, which accelerates surface melting in the central Himalayas."
"What is the economic risk to coastal India by 2050 without sea-level rise adaptation?","Without adaptation measures, the economic risk to coastal infrastructure and real estate in India is estimated to scale to $45 billion by the year 2050."
