question,expected_answer,generated_answer,cosine_similarity,rouge_l_score,status
How does the Siachen glacier's thinning rate compare to its retreat?,"The Siachen glacier is retreating at a rate between 10 to 35 meters per year and has an accelerated thinning rate of approximately 0.65 meters water equivalent (w.e.) per year, largely impacted by black carbon.","The Siachen glacier has a thinning rate of approximately 0.65 meters water equivalent (w.e.) per year, and it is retreating at a rate between 10 to 35 meters per year. However, the exact comparison between the thinning rate and the retreat rate is not directly provided, as the thinning rate is given in meters water equivalent per year, while the retreat rate is given in meters per year.",0.9165,0.4299,PASS
What proportion of India's annual precipitation is provided by the Indian Summer Monsoon?,The Indian Summer Monsoon (ISM) historically provides approximately 75-80% of India's total annual precipitation.,The Indian Summer Monsoon (ISM) historically provides approximately 75-80% of India's annual precipitation.,0.9982,0.9677,PASS
How is the frequency of extreme daily rainfall events changing in central India?,"According to 2025 IMD data, there has been a 4-fold increase in the frequency of extreme daily rainfall events (greater than 150mm per day) over central and peninsular India since 1950.","According to the Indian Meteorological Department (IMD) data from 2025, there has been a 4-fold increase in the frequency of ""extreme daily rainfall events"" (>150mm/day) over central and peninsular India since 1950.",0.9667,0.8485,PASS
How much groundwater does India extract annually for all purposes?,"India extracts approximately 245 billion cubic meters (BCM) of groundwater annually, making it the world's largest consumer of groundwater.",India extracts approximately 245 billion cubic meters (BCM) of groundwater annually for all purposes.,0.9296,0.6471,PASS
What is the average annual rate of groundwater decline in parts of Punjab?,"Driven by water-intensive crops, groundwater levels in parts of Punjab are declining at an alarming rate of 0.8 to 1.2 meters per year.",The average annual rate of groundwater decline in parts of Punjab is 0.8 to 1.2 meters per year.,0.8656,0.5652,PASS
To what distance has saltwater intrusion pushed inland in the Krishna-Godavari Delta?,"Accelerated sea-level rise has pushed saltwater intrusion inland by as much as 12 km in the Krishna-Godavari Delta, permanently contaminating aquifers.",Saltwater intrusion has permanently contaminated aquifers up to 12 km inland in the Krishna-Godavari Delta.,0.8523,0.4615,PASS
By what amount is the mean sea level projected to rise around Mumbai by 2050?,"By 2050, the mean sea level around Mumbai is projected to rise by up to 0.45 meters relative to 2005 levels, posing a severe inundation risk to areas like South Mumbai.","By 2050, the mean sea level around Mumbai is projected to rise by up to 0.45 meters relative to 2005 levels.",0.9733,0.8148,PASS
What percentage of natural storm water drains have been encroached upon in Bengaluru?,"Over 60% of Bengaluru's primary storm water drains, known as Rajakaluves, have been paved over or encroached upon for real estate and IT corridors.","According to the provided context, approximately 60% of Bengaluru's primary storm water drains (Rajakaluves) have been encroached upon.",0.8958,0.5909,PASS
What is the design capacity of Delhi's internal drainage system compared to extreme events?,"Delhi's internal drainage capacity is designed for a maximum of 50mm of rain per day, but extreme climate events routinely drop 100mm or more in a few hours, leading to immediate waterlogging.","The design capacity of Delhi's internal drainage system is 50mm of rain per day, which is routinely bypassed by extreme events that drop 100mm or more of rain in a few hours.",0.9299,0.6061,PASS
How much water does the cultivation of millets require compared to paddy?,"The cultivation of millets (Shree Anna) requires 70-80% less water than traditional paddy (rice), making it highly resilient to drought and thermal stress.",The cultivation of millets requires approximately 70-80% less water than paddy.,0.829,0.6111,PASS
What are the benefits of using an IoT-based micro-irrigation system?,IoT-based micro-irrigation (like drip systems) can result in water savings of 40-50% while simultaneously increasing crop yields by 20% by delivering water directly to the root zone only when necessary.,"The benefits of using an IoT-based micro-irrigation system include water savings and increased crop yields. Specifically, the adoption of micro-irrigation systems, such as drip and sprinkler systems, has resulted in water savings of 40-50% while simultaneously increasing crop yields by 20%. Additionally, IoT-based soil moisture sensors can trigger irrigation pumps only when the soil moisture deficit hits a critical threshold, effectively eliminating over-watering. This leads to more efficient water use and reduced waste.",0.9063,0.3929,PASS
What is the primary goal of the National River Linking Project (NRLP)?,"The primary goal of the NRLP is to transfer water from so-called 'surplus' river basins like the Brahmaputra to 'deficit' basins in western and peninsular India, acting as a climate adaptation mechanism.","The primary goal of the National River Linking Project (NRLP) is to transfer water from ""surplus"" river basins to ""deficit"" basins in western and peninsular India, aiming to provide irrigation and drought-proofing, as well as serve as a climate adaptation mechanism by managing extremes such as floods and droughts.",0.911,0.6506,PASS
Which specific drought-prone region does the Ken-Betwa link target for irrigation?,"The Ken-Betwa link specifically targets the climate-vulnerable, drought-prone Bundelkhand region, aiming to provide irrigation to 1.06 million hectares.","The Ken-Betwa link specifically targets the climate-vulnerable, drought-prone Bundelkhand region for irrigation.",0.9803,0.7568,PASS
How does the deposition of black carbon affect Himalayan glaciers?,"The deposition of black carbon (soot) from the Indo-Gangetic plains alters the albedo effect by nearly 15%, which accelerates surface melting in the central Himalayas.","The deposition of black carbon (soot) from the Indo-Gangetic plains has accelerated surface melting of Himalayan glaciers by altering the albedo effect, resulting in a nearly 15% change in the central Himalayas. This means that the black carbon deposits reduce the reflectivity of the glacier surface, allowing it to absorb more solar radiation and melt at a faster rate.",0.9166,0.4884,PASS
What is the economic risk to coastal India by 2050 without sea-level rise adaptation?,"Without adaptation measures, the economic risk to coastal infrastructure and real estate in India is estimated to scale to $45 billion by the year 2050.",The economic risk to coastal India by 2050 without sea-level rise adaptation is scaled to $45 billion.,0.8655,0.5116,PASS
